,Id,LotFrontage,LotArea,YearBuilt,CentralAir,GrLivArea,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,OpenPorchSF,SalePrice,Condition,Mean_rank,YearRemod,Exterior,TotalSF,TotalBath,WoodYN
0,1,65.0,8450,2003,1,1710,3,1,0,548,61,208500,1,6.0,0,0,2566,3.5,1
1,2,80.0,9600,1976,1,1262,3,1,1,460,0,181500,0,7.0,0,0,2524,2.5,0
2,3,68.0,11250,2001,1,1786,3,1,1,608,42,223500,1,6.0,1,0,2706,3.5,1
3,4,60.0,9550,1915,1,1717,3,1,1,642,35,140000,1,6.0,1,1,2473,2.0,1
4,5,84.0,14260,2000,1,2198,4,1,1,836,84,250000,1,6.5,0,0,3343,3.5,0
5,6,85.0,14115,1993,1,1362,1,1,0,480,30,143000,1,5.0,1,0,2158,2.5,0
6,7,75.0,10084,2004,1,1694,3,1,1,636,57,307000,1,6.5,1,0,3380,3.0,0
7,8,63.0,10382,1973,1,2090,3,1,2,484,204,200000,0,6.5,0,0,3197,3.5,0
8,9,51.0,6120,1931,1,1774,2,2,2,468,0,129900,0,6.0,1,1,2726,2.0,0
9,10,50.0,7420,1939,1,1077,2,2,2,205,4,118000,1,5.5,1,0,2068,2.0,1
10,11,70.0,11200,1965,1,1040,3,1,0,384,0,129500,1,5.0,0,0,2080,2.0,1
11,12,85.0,11924,2005,1,2324,4,1,2,736,21,345000,1,7.0,1,1,3499,4.0,0
12,13,88.0,12968,1962,1,912,2,1,0,352,0,144000,1,5.5,0,1,1824,2.0,0
13,14,91.0,10652,2006,1,1494,3,1,1,840,33,279500,1,6.0,1,0,2988,2.0,0
14,15,71.0,10920,1960,1,1253,2,1,1,352,213,157000,1,5.5,0,0,2506,2.5,1
15,16,51.0,6120,1929,1,854,2,1,0,576,112,132000,1,7.5,1,0,1686,1.0,0
16,17,61.5,11241,1970,1,1004,2,1,1,480,0,149000,1,6.5,0,0,2008,2.0,1
17,18,72.0,10791,1967,1,1296,2,2,0,516,0,90000,1,4.5,0,0,1296,2.0,1
