,SalePrice,LotArea,OverallQual,YearBuilt,GrLivArea,Fireplaces,GarageArea,Condition
0,208500,8450,7,2003,1710,0,548,1
1,181500,9600,6,1976,1262,1,460,0
2,223500,11250,7,2001,1786,1,608,1
3,140000,9550,7,1915,1717,1,642,1
4,250000,14260,8,2000,2198,1,836,1
5,143000,14115,5,1993,1362,0,480,1
6,307000,10084,8,2004,1694,1,636,1
7,200000,10382,7,1973,2090,2,484,0
8,129900,6120,7,1931,1774,2,468,0
9,118000,7420,5,1939,1077,2,205,1
10,129500,11200,5,1965,1040,0,384,1
11,345000,11924,9,2005,2324,2,736,1
12,144000,12968,5,1962,912,0,352,1
13,279500,10652,7,2006,1494,1,840,1
14,157000,10920,6,1960,1253,1,352,1
15,132000,6120,7,1929,854,0,576,1
16,149000,11241,6,1970,1004,1,480,1
17,90000,10791,4,1967,1296,0,516,1
18,159000,13695,5,2004,1114,0,576,0
19,139000,7560,5,1958,1339,0,294,1
20,325300,14215,8,2005,2376,1,853,1
21,139400,7449,7,1930,1108,1,280,1
22,230000,9742,8,2002,1795,1,534,1
23,129900,4224,5,1976,1060,1,572,1
24,154000,8246,5,1968,1060,1,270,1
25,256300,14230,8,2007,1600,1,890,1
26,134800,7200,5,1951,900,0,576,1
27,306000,11478,8,2007,1704,1,772,1
28,207500,16321,5,1957,1600,2,319,1
29,68500,6324,4,1927,520,0,240,0
30,40000,8500,4,1920,1317,0,250,0
31,149350,8544,5,1966,1228,0,271,1
32,179900,11049,8,2007,1234,0,484,1
33,165500,10552,5,1959,1700,1,447,1
34,277500,7313,9,2005,1561,1,556,1
35,309000,13418,8,2004,2452,1,691,1
36,145000,10859,5,1994,1097,0,672,1
37,153000,8532,5,1954,1297,1,498,1
38,109000,7922,5,1953,1057,0,246,1
39,82000,6040,4,1955,1152,0,0,1
40,160000,8658,6,1965,1324,1,440,1
41,170000,16905,5,1959,1328,2,308,1
42,144000,9180,5,1983,884,0,504,1
43,130250,9200,5,1975,938,0,308,1
44,141000,7945,5,1959,1150,0,300,1
45,319900,7658,9,2005,1752,1,576,1
46,239686,12822,7,2003,2149,1,670,1
47,249700,11096,8,2006,1656,0,826,1
48,113000,4456,4,1920,1452,0,0,1
49,127000,7742,5,1966,955,0,386,1
50,177000,13869,6,1997,1470,0,388,1
51,114500,6240,6,1934,1176,1,528,1
52,110000,8472,5,1963,816,0,516,0
53,385000,50271,9,1981,1842,1,894,1
54,130000,7134,5,1955,1360,1,572,1
55,180500,10175,6,1964,1425,1,576,1
56,172500,2645,8,1999,1739,0,480,1
57,196500,11645,7,2004,1720,0,565,1
58,438780,13682,10,2006,2945,1,641,1
59,124900,7200,5,1972,780,0,352,1
60,158000,13072,6,2004,1158,0,576,0
61,101000,7200,5,1920,1111,0,288,1
62,202500,6442,8,2006,1370,1,484,1
63,140000,10300,7,1921,1710,0,480,0
64,219500,9375,7,1997,2034,0,645,1
65,317000,9591,8,2004,2473,1,852,1
66,180000,19900,7,1970,2207,1,576,0
67,226000,10665,7,2003,1479,0,558,1
68,80000,4608,4,1945,747,0,220,0
69,225000,15593,7,1953,2287,1,667,1
70,244000,13651,7,1973,2223,2,516,1
71,129500,7599,4,1982,845,0,360,1
72,185000,10141,7,1998,1718,1,427,1
73,144900,10200,5,1954,1086,0,490,1
74,107400,5790,3,1915,1605,0,379,1
75,91000,1596,4,1973,988,0,297,1
76,135750,8475,4,1956,952,0,283,1
77,127000,8635,5,1948,1285,0,240,1
78,136500,10778,4,1968,1768,0,0,1
79,110000,10440,5,1910,1230,0,440,1
80,193500,13000,6,1968,2142,1,509,1
81,153500,4500,6,1998,1337,0,405,1
82,245000,10206,8,2007,1563,1,758,1
83,126500,8892,5,1960,1065,0,461,1
84,168500,8530,7,1995,1474,1,400,1
85,260000,16059,8,1991,2417,1,462,1
86,174000,11911,6,2005,1560,1,400,1
87,164500,3951,6,2009,1224,0,528,1
88,85000,8470,3,1915,1526,0,0,1
89,123600,8070,4,1994,990,0,0,1
90,109900,7200,4,1950,1040,0,420,1
91,98600,8500,5,1961,1235,0,480,1
92,163500,13360,5,1921,964,0,432,1
93,133900,7200,6,1910,2291,1,506,1
94,204750,9337,6,1997,1786,0,684,1
95,185000,9765,6,1993,1470,1,420,1
96,214000,10264,7,1999,1588,0,472,1
97,94750,10921,4,1965,960,0,432,1
98,83000,10625,5,1920,835,0,366,1
99,128950,9320,4,1959,1225,0,0,1
100,205000,10603,6,1977,1610,2,480,1
101,178000,9206,6,1985,1732,1,476,1
102,118964,7018,5,1979,1535,0,410,1
103,198900,10402,7,2009,1226,0,740,1
104,169500,7758,7,1931,1818,2,240,1
105,250000,9375,8,2003,1992,1,648,1
